# Temas del examen. Una Pregunta pertenece a un Tema, nunca a una universidad:
# Aritmetica, Algebra, Geometria, Trigonometria, Fisica y Quimica se comparten entre UNI y UNMSM.
# area_conocimiento: MATEMATICA, FISICA_QUIMICA, BIOLOGIA, APTITUD, HUMANIDADES o ACTITUDINAL.
# temario: resumen de los subtemas oficiales, lo usa el generador de preguntas. Puede quedar vacio.
# Fuentes del temario: Prospecto UNMSM 2026-I y temario oficial UNI 2024.
# En UNI, Humanidades es un solo tema porque la fuente no separa sus 36 preguntas por subarea.
nombre|area_conocimiento|temario
Razonamiento Matemático|APTITUD|UNI: análisis de figuras (series, analogías, sólidos, conteo de figuras/rutas/cubos); razonamiento lógico (proposicional, inferencias, lógica de clases, juegos lógicos); sucesiones y distribuciones numéricas; suficiencia de datos; razonamiento numérico (operaciones, criptoaritmética, ecuaciones, razones y proporciones, regla de tres, combinatoria); áreas y perímetros; operadores matemáticos; tablas y gráficos estadísticos.
Razonamiento Verbal|APTITUD|UNI: definiciones; analogías; precisión léxica en contexto; antonimia contextual; conectores lógico-textuales; información eliminada; plan de redacción; inclusión de enunciado; coherencia y cohesión textual; comprensión de lectura (textos continuos/discontinuos, macroestructura, inferencia, extrapolación, resumen, mapas conceptuales).
Humanidades|HUMANIDADES|UNI: [Comunicación y Lengua] lenguaje/lengua/habla; escritura y ortografía; sílaba y acentuación; puntuación; semántica; morfología; normas de corrección idiomática (sustantivo, adjetivo, verbo, preposición, conjunción, adverbio); oración simple y compuesta; vicios del lenguaje. [Literatura] teoría literaria; literatura griega (Homero, Esquilo, Sófocles); medieval (Dante); Renacimiento/Barroco (Shakespeare, Cervantes, Lope de Vega, Calderón de la Barca); Romanticismo y Realismo (Dostoievski, Flaubert, Balzac); narrativa contemporánea (Kafka, Hemingway); Generación del 98 y 27 (Machado, García Lorca); modernismo y Boom latinoamericano (Rubén Darío, Borges, Rulfo, García Márquez, Fuentes, Neruda, Paz); literatura peruana (Ollantay, Garcilaso de la Vega, Guamán Poma, Melgar, Palma, Segura, González Prada, Eguren, Valdelomar, Mariátegui, César Vallejo, Ciro Alegría, Arguedas, Ribeyro, Vargas Llosa, Bryce Echenique). [Historia del Perú y del Mundo] proceso de hominización y poblamiento de América; culturas andinas hasta el Tahuantinsuyo; culturas antiguas (Mesopotamia, Egipto, Grecia, Roma); Edad Media (Islam, feudalismo); Renacimiento y expansión europea; conquista y Virreinato; revoluciones burguesas; independencia del Perú; s. XIX (Confederación, guerra del Pacífico); entreguerras y guerras mundiales; República Aristocrática y Patria Nueva; Guerra Fría y descolonización; autoritarismo y democracia en el Perú (1930-1980); globalización; retorno al régimen constitucional (1980-2000s). [Geografía y Desarrollo Nacional] teoría geográfica y cartografía; ecosistemas y áreas protegidas; geomorfología del Perú; mar peruano; hidrografía; regiones naturales y ecorregiones; actividades económicas; geografía humana y migraciones; Perú en el contexto geopolítico; integración internacional; Estado peruano y participación ciudadana; convivencia y diversidad cultural. [Economía] definición y doctrinas económicas; necesidades, bienes y factores productivos; teoría del mercado y modelos de mercado; teoría de la empresa; sistema monetario y financiero; sector público; indicadores macroeconómicos; comercio internacional; organismos financieros internacionales; integración económica. [Inglés] nivel básico. [Filosofía] origen y disciplinas filosóficas; filosofía antigua (presocráticos, sofistas, Sócrates, Platón, Aristóteles, escuelas helenísticas); filosofía moderna (racionalismo, empirismo, Ilustración, idealismo alemán); filosofía contemporánea (positivismo, Marx, Nietzsche, existencialismo, Wittgenstein, Popper); axiología; ética y política; gnoseología; epistemología. [Lógica] la proposición; formalización y tablas de verdad; la inferencia y el silogismo categórico. [Psicología] definición y métodos; factores biológicos (neurona, sistema nervioso); psicoanálisis; procesos cognitivos (percepción, memoria, imaginación, inteligencia); aprendizaje y motivación; pensamiento y lenguaje; personalidad; socialización; sexualidad; salud psicológica.
Aritmética|MATEMATICA|UNMSM: relaciones lógicas y conjuntos; números naturales; números enteros (divisibilidad, primos, MCD/mcm); números racionales; razones y proporciones (regla de tres, porcentajes, progresiones, sumatorias); estadística y probabilidad (medidas de tendencia central, dispersión, combinatoria, probabilidad). UNI (Parte I, Aritmética y Álgebra): razones y proporciones; magnitudes proporcionales; interés simple y compuesto; mezcla y aleación; estadística; probabilidad; numeración; números naturales y enteros; divisibilidad; números primos; números racionales e irracionales; potenciación y radicación; lógica, conjuntos, números reales, ecuaciones e inecuaciones; ecuaciones e inecuaciones de segundo grado; funciones; funciones polinomiales (incluye números complejos); función exponencial y logarítmica; matrices y determinantes; sistemas de ecuaciones e inecuaciones; introducción a la programación lineal; sucesiones y series numéricas.
Álgebra|MATEMATICA|UNMSM: números reales y complejos; ecuaciones e inecuaciones; sistemas de ecuaciones; expresiones algebraicas (polinomios, factorización, teorema del resto/factor); funciones reales de variable real (dominio/rango, tipos, inversas, exponencial, logarítmica). UNI (Parte I, Aritmética y Álgebra): razones y proporciones; magnitudes proporcionales; interés simple y compuesto; mezcla y aleación; estadística; probabilidad; numeración; números naturales y enteros; divisibilidad; números primos; números racionales e irracionales; potenciación y radicación; lógica, conjuntos, números reales, ecuaciones e inecuaciones; ecuaciones e inecuaciones de segundo grado; funciones; funciones polinomiales (incluye números complejos); función exponencial y logarítmica; matrices y determinantes; sistemas de ecuaciones e inecuaciones; introducción a la programación lineal; sucesiones y series numéricas.
Geometría|MATEMATICA|UNMSM: segmento de recta y ángulos; polígonos y ángulos en la circunferencia; semejanza de triángulos (Tales, Pitágoras); áreas de polígonos y círculos; poliedros convexos y regulares; cilindro/cono/esfera de revolución; geometría analítica (recta, circunferencia, parábola, elipse). UNI (Parte II, Geometría y Trigonometría): nociones básicas; triángulos y congruencia; polígonos y cuadriláteros; circunferencia; proporcionalidad (Tales, Menelao, Ceva); relaciones métricas en el triángulo y la circunferencia; polígonos regulares convexos; longitud de la circunferencia; áreas de regiones poligonales y circulares; geometría del espacio; ángulos diedros; ángulos sólidos/poliedros; poliedros geométricos; prisma; pirámide; cilindro; cono; esfera; ángulo trigonométrico; razones trigonométricas (ángulos agudos, de cualquier magnitud, circunferencia trigonométrica); identidades trigonométricas; funciones trigonométricas y sus inversas; ecuaciones e inecuaciones trigonométricas; resolución de triángulos; secciones cónicas (circunferencia, parábola, elipse, hipérbola).
Trigonometría|MATEMATICA|UNMSM: sistema de medidas angulares; ángulo en posición normal; identidades trigonométricas; ecuaciones trigonométricas; resolución de triángulos oblicuángulos; funciones trigonométricas (directas e inversas). UNI (Parte II, Geometría y Trigonometría): nociones básicas; triángulos y congruencia; polígonos y cuadriláteros; circunferencia; proporcionalidad (Tales, Menelao, Ceva); relaciones métricas en el triángulo y la circunferencia; polígonos regulares convexos; longitud de la circunferencia; áreas de regiones poligonales y circulares; geometría del espacio; ángulos diedros; ángulos sólidos/poliedros; poliedros geométricos; prisma; pirámide; cilindro; cono; esfera; ángulo trigonométrico; razones trigonométricas (ángulos agudos, de cualquier magnitud, circunferencia trigonométrica); identidades trigonométricas; funciones trigonométricas y sus inversas; ecuaciones e inecuaciones trigonométricas; resolución de triángulos; secciones cónicas (circunferencia, parábola, elipse, hipérbola).
Física|FISICA_QUIMICA|UNMSM: cinemática; dinámica (leyes de Newton, cantidad de movimiento, gravitación); leyes de conservación (trabajo, energía); fenómenos térmicos; mecánica de fluidos; electrostática; electrodinámica; electromagnetismo; oscilaciones y ondas; física moderna (cuántica, relatividad especial). UNI: cantidades físicas y vectores; cinemática (1D y 2D, movimiento circular); leyes de Newton; gravitación universal; trabajo y energía; impulso y cantidad de movimiento; oscilaciones (MAS); ondas mecánicas; fluidos; temperatura y calor; termodinámica; electrostática; corriente eléctrica; electromagnetismo; ondas electromagnéticas; óptica geométrica; física moderna (efecto fotoeléctrico, rayos X).
Química|FISICA_QUIMICA|UNMSM: materia y sistema internacional; estructura atómica y tabla periódica; enlace químico y nomenclatura inorgánica; reacciones químicas (redox); estequiometría; estados de la materia; sistemas dispersos (soluciones, pH); cinética y equilibrio químico; electroquímica; química orgánica (hidrocarburos, compuestos oxigenados y nitrogenados); recursos naturales y contaminación ambiental. UNI: química y materia; estructura atómica; tabla periódica moderna; enlace químico; nomenclatura química inorgánica; estequiometría; estados de agregación de la materia; soluciones y coloides; equilibrio químico; ácidos y bases; electroquímica; química orgánica (hidrocarburos, grupos funcionales, isomería); ecología y contaminación ambiental; química aplicada (nanotecnología, materiales modernos).
Actitud|ACTITUDINAL|
