tema|dificultad|enunciado|alternativa1|alternativa2|alternativa3|alternativa4|alternativa5|claveCorrecta|explicacion|origen
Actitud|FACIL|Cuando una persona manifiesta sentir un profundo rechazo o desagrado emocional hacia el consumo de comida chatarra, ¿a qué componente de la actitud se hace referencia principalmente?|Cognitivo|Afectivo|Conductual|Conativo|Reactivo|1|El componente afectivo de la actitud abarca los sentimientos, emociones y evaluaciones de agrado o desagrado que experimenta un individuo frente al objeto de la actitud.|IA_APROBADA
Actitud|FACIL|La predisposición aprendida y relativamente estable a responder de manera favorable o desfavorable hacia un objeto, persona o situación se define en psicología como:|Afecto|Aptitud|Actitud|Personalidad|Temperamento|2|La actitud se define formalmente en psicología como una predisposición evaluativa aprendida que orienta la respuesta afectiva, cognitiva y conductual ante un objeto o estímulo.|IA_APROBADA
Actitud|FACIL|En el estudio de las actitudes sociales, la discriminación se diferencia del prejuicio en que la primera representa la dimensión de tipo:|Afectivo|Cognitivo|Conductual|Inconsciente|Moral|2|Mientras que el prejuicio es la evaluación o afecto negativo hacia un grupo y el estereotipo es la creencia (cognitivo), la discriminación constituye el comportamiento o acto manifiesto (conductual).|IA_APROBADA
Actitud|FACIL|María cree firmemente que hacer ejercicio diario mejora la salud cardiovascular y la longevidad. Esta idea o creencia forma parte del componente ________ de su actitud hacia el deporte.|Afectivo|Conductual|Cognitivo|Volitivo|Emocional|2|El componente cognitivo hace referencia a las creencias, opiniones, pensamientos e información teórica que posee una persona sobre el objeto de la actitud.|IA_APROBADA
Actitud|FACIL|Andrés suele comprar productos ecológicos y participa voluntariamente en campañas de reciclaje de su vecindario. Estas acciones corresponden al componente de la actitud denominado:|Cognitivo|Afectivo|Conductual o conativo|Defensivo|Expresivo|2|El componente conductual o conativo hace referencia a las intenciones, hábitos y acciones observables dirigidas hacia el objeto de la actitud.|IA_APROBADA
Actitud|FACIL|¿Cómo se define adecuadamente el concepto de actitud en el ámbito de la psicología social?|Una reacción biológica e innata frente a estímulos del entorno.|Una predisposición aprendida a responder de manera evaluativa ante un objeto, persona o situación.|Un rasgo de personalidad totalmente inmutable a lo largo de la vida.|Un proceso exclusivamente emotivo sin componente del pensamiento.|Un estado de ánimo temporal provocado por la fatiga física.|1|La actitud es una disposición o predisposición aprendida y relativamente estable para evaluar favorable o desfavorablemente a un objeto, persona, idea o situación.|IA_APROBADA
Actitud|FACIL|Cuando una persona expresa que siente un temor intenso y rechazo visceral hacia los insectos, ¿qué componente de la actitud se está manifestando principalmente?|Cognitivo|Conductual|Afectivo|Normativo|Volitivo|2|El componente afectivo de la actitud agrupa los sentimientos, emociones y reacciones fisiológicas que genera el objeto de la actitud.|IA_APROBADA
Actitud|FACIL|Juan cree firmemente que consumir vegetales orgánicos mejora la salud digestiva y reduce el riesgo de enfermedades. Esta creencia representa el componente:|Afectivo|Conductual|Cognitivo|Inconsciente|Reactivo|2|El componente cognitivo abarca el conjunto de creencias, opiniones, conocimientos e información que una persona posee sobre el objeto actitudinal.|IA_APROBADA
Actitud|FACIL|María decide firmar una petición pública y asistir a marchas para evitar la tala de un bosque local. Esta acción concreta evidencia el componente:|Afectivo|Cognitivo|Conductual|Proyectivo|Temperamental|2|El componente conductual o conativo se refiere a las tendencias de acción, intenciones y comportamientos explícitos dirigidos hacia el objeto actitudinal.|IA_APROBADA
Actitud|FACIL|En la psicología social, las creencias simplificadas y generalizadas sobre las características atribuida a los miembros de un grupo se denominan:|Prejuicios|Estereotipos|Discriminaciones|Disonancias|Sesgos emocionales|1|Los estereotipos representan la dimensión cognitiva de las relaciones intergrupales, consistentes en esquemas mentales e ideas simplificadas sobre un colectivo.|IA_APROBADA
Actitud|FACIL|La negativa injustificada de alquilar un departamento a personas provenientes de cierta región del país constituye un claro ejemplo de:|Estereotipo|Disonancia cognitiva|Discriminación|Inoculación|Efecto de halo|2|La discriminación es la manifestación abiertamente conductual del prejuicio, caracterizada por un trato diferencial y perjudicial dirigido a los miembros de un grupo.|IA_APROBADA
Actitud|FACIL|Un niño adquiere una actitud positiva hacia la lectura al observar a sus padres leer con entusiasmo todas las noches. Este aprendizaje actitudinal ocurrió por:|Condicionamiento clásico|Modelado o aprendizaje observacional|Efecto de mera exposición|Inoculación actitudinal|Disonancia cognitiva|1|El modelado o aprendizaje observacional (Bandura) implica la adquisición e incorporación de actitudes a través de la imitación del comportamiento de modelos significativos.|IA_APROBADA
Actitud|MEDIA|Un fumador empedernido sabe perfectamente que el cigarrillo causa cáncer, pero afirma 'de algo hay que morir' para mitigar la tensión psicológica generada entre su creencia y su hábito. Este fenómeno se explica por la teoría de la:|Reactancia psicológica|Disonancia cognitiva|Percepción social|Facilitación social|Indefensión aprendida|1|La teoría de la disonancia cognitiva de Leon Festinger plantea que cuando existen cogniciones o conductas contradictorias, el sujeto experimenta malestar e intenta justificar o modificar sus creencias para reducir la tensión.|IA_APROBADA
Actitud|MEDIA|Un estudiante que desaprueba un examen afirma que el profesor tiene preferencia por otros alumnos, protegiendo así su propia autoestima del sentimiento de fracaso. ¿Qué función de la actitud según Daniel Katz se evidencia?|Función utilitaria|Función cognoscitiva|Función defensiva del yo|Función expresiva de valores|Función de ajuste social|2|La función defensiva del yo permite al sujeto proteger su autoconcepto y autoestima frente a tensiones internas, fracasos o sentimientos de culpa mediante mecanismos de defensa.|IA_APROBADA
Actitud|MEDIA|Un niño observa constantemente a sus padres mostrar entusiasmo y alegría al momento de leer libros, imitando posteriormente dicho hábito con agrado. Este modo de formación de actitudes corresponde al aprendizaje:|Por condicionamiento clásico|Observacional o vicario|Por ensayo y error|Operante o instrumental|Aversivo involuntario|1|La actitud se adquiere por aprendizaje vicario u observacional (Bandura) cuando el sujeto adopta valores, creencias y conductas tras modelar el comportamiento de figuras significativas.|IA_APROBADA
Actitud|MEDIA|Carla viste prendas elaboradas con materiales reciclados y usa insignias ecologistas para comunicar a los demás su identidad personal y sus principios axiológicos. La función de la actitud manifestada es:|Defensiva del yo|Utilitaria o adaptativa|Expresiva de valores|De conocimiento|Comparativa social|2|Según Katz, la función expresiva de valores permite al individuo manifestar sus principios éticos, convicciones e identidad ante la sociedad mediante sus actitudes y elecciones.|IA_APROBADA
Actitud|MEDIA|Atribuir de manera generalizada y simplificada un conjunto de características fijas a todos los miembros de un determinado grupo social constituye la estructura del:|Prejuicio|Estereotipo|Sesgo de confirmación|Dogmatismo|Estatus social|1|El estereotipo es la dimensión cognitiva de las actitudes grupales y consiste en esquemas mentales simplificados o generalizaciones sobre las características de los miembros de un grupo.|IA_APROBADA
Actitud|MEDIA|En el Modelo de Probabilidad de Elaboración (Petty y Cacioppo), el procesamiento persuasivo centrado minuciosamente en la solidez y calidad de los argumentos se realiza por la ruta:|Periférica|Central|Afectiva|Heurística|Implicitada|1|La ruta central implica un procesamiento cognitivo profundo, analítico y crítico de la información, generando cambios de actitud más perdurables.|IA_APROBADA
Actitud|MEDIA|Según la teoría de Leon Festinger, cuando un individuo sostiene dos cogniciones incompatibles entre sí o actúa de forma opuesta a sus creencias, experimenta:|Reactancia psicológica|Disonancia cognitiva|Anomia social|Efecto de mera exposición|Facilitación social|1|La disonancia cognitiva es el estado de malestar y tensión psicológica que motiva al sujeto a modificar sus creencias o conductas para restaurar la coherencia interna.|IA_APROBADA
Actitud|MEDIA|Un estudiante justifica haber copiado en un examen argumentando que todos sus compañeros también lo hacen, protegiendo así su autoconcepto. ¿Qué función actitudinal cumple este razonamiento?|Expresiva de valores|Defensiva del yo|Utilitaria o adaptativa|Conocimiento|Inoculativa|1|La función defensiva del yo permite proteger la autoestima y el autoconcepto frente a sentimientos de culpa, ansiedad o amenazas psicológicas internas y externas.|IA_APROBADA
Actitud|MEDIA|Un joven utiliza ropa confeccionada con materiales reciclados para comunicar explícitamente su compromiso con la sostenibilidad medioambiental. Aquí la actitud cumple una función:|Utilitaria|Defensiva del yo|Expresiva de valores|Económica|Involuntaria|2|La función expresiva de valores permite a las personas exteriorizar su identidad profunda, sistema de creencias y principios éticos hacia la comunidad.|IA_APROBADA
Actitud|MEDIA|El fenómeno por el cual la exposición repetida ante un estímulo neutro (como una canción o una imagen) incrementa progresivamente la preferencia hacia este se denomina:|Efecto de mera exposición|Condicionamiento operante|Disonancia postdecisional|Sesgo de confirmación|Ruta periférica|0|Demostrado por Robert Zajonc, el efecto de mera exposición señala que la presentación frecuente de un estímulo neutral aumenta la familiaridad y la valoración positiva del mismo.|IA_APROBADA
Actitud|MEDIA|Un instrumento de medición actitudinal compuesto por una serie de enunciados ante los cuales el evaluado marca su grado de acuerdo en opciones ordenadas (ej. de Muy en desacuerdo a Muy de acuerdo) es una:|Prueba proyectiva|Diferencial semántico|Escala de Likert|Prueba de asociación implícita|Entrevista a profundidad|2|La escala de Likert cuantifica la intensidad de una actitud midiendo el nivel de acuerdo o desacuerdo frente a afirmaciones sobre el objeto de estudio.|IA_APROBADA
Actitud|MEDIA|Según la Teoría de la Autopercepción de Daryl Bem, las personas deducen sus propias actitudes internas principalmente cuando:|Observan su propia conducta previa e infieren qué actitud la provocó.|Reciben la aprobación o sanción explícita de sus líderes de opinión.|Experimentan una elevada activación del sistema nervioso autónomo.|Son sometidas a impulsos e instintos del inconsciente individual.|Analizan racionalmente los prejuicios transmitidos por su familia.|0|La teoría de Bem sostiene que cuando las señales internas son débiles o ambiguas, el individuo actúa como un observador externo e infiere sus actitudes observando su propio comportamiento.|IA_APROBADA
Actitud|DIFICIL|En un debate académico sobre cambio climático, un oyente evalúa minuciosamente la calidad lógica de los argumentos presentados y las evidencias científicas. Según el Modelo de Probabilidad de Elaboración (Petty y Cacioppo), la persona procesa la información a través de la ruta:|Periférica|Central|Empática|Heurística|Reactiva|1|La ruta central del Modelo de Probabilidad de Elaboración se activa cuando el receptor tiene alta motivación y capacidad para analizar detenidamente el contenido y los argumentos lógicos del mensaje persuasivo.|IA_APROBADA
Actitud|DIFICIL|Tras adquirir un automóvil sumamente costoso que compromete sus finanzas, Javier empieza a magnificar los sistemas de seguridad del coche y minimiza los gastos de mantenimiento. Desde la disonancia cognitiva, ¿qué estrategia de reducción de tensión aplica?|Eliminación del comportamiento incoherente|Adición de cogniciones consonantes y revalorización de la alternativa elegida|Modificación de las normas comunitarias|Generación de reactancia psicológica|Búsqueda de castigo adaptativo|1|Para resolver la disonancia posterior a una decisión difícil (disonancia posdecisional), las personas añaden argumentos favorables a la opción elegida y devalúan la opción descartada para sentir congruencia.|IA_APROBADA
Actitud|DIFICIL|De acuerdo con la Teoría de la Conducta Planeada de Icek Ajzen, la actitud hacia una conducta no es el único predictor directo del comportamiento. ¿Qué otros factores interactúan con la actitud para estructurar la intención conductual?|El inconsciente colectivo y la catarsis emocional|La norma subjetiva y el control conductual percibido|La disonancia afectiva y el temperamento biológico|El refuerzo vicario y la indefensión aprendida|La reactancia cognitiva y la deseabilidad implícita|1|La Teoría de la Conducta Planeada establece que la intención conductual depende de la actitud hacia el acto, la norma subjetiva (presión social percibida) y el control conductual percibido (facilidad u obstáculos percibidos).|IA_APROBADA
